name,latitude,longitude,address,website
Kempsey Shire Library,-31.080761,152.828034,"Kempsey Civic Centre, Elbow Street, West Kempsey NSW 2440",http://www.kempsey.nsw.gov.au/library.htm
Kiama Library,-34.671457,150.854822,"7 Railway Parade, Kiama NSW 2533",http://www.kiama.nsw.gov.au/Community-Services/library/index.html
Kincumber Library,-33.467738,151.382147,"Bungoona Road, Kincumber NSW 2251",http://www.gosford.nsw.gov.au/library
Kings Cross Library,-33.873982,151.223348,"50-52 Darlinghurst Road, Kings Cross NSW 2011",http://www.cityofsydney.nsw.gov.au/Library/Default.asp
Kingscliff Library,-28.257219,153.571935,"Turnock Street, Kingscliff NSW 2487",http://www.rtrl.nsw.gov.au/site/index.php
Kogarah Council Library,-33.965534,151.134031,"Kogarah Town Square, Belgrave Street, Kogarah NSW 2217",http://www.kogarah.nsw.gov.au/www/html/1508-introduction.asp
Kootingal Library,-31.051968,151.055055,"Denman Street, Kootingal NSW 2352",http://www.cnl.nsw.gov.au/
Ku-ring-gai Library,-33.753791,151.152234,"799 Pacific Highway, Gordon NSW 2072",http://www.kmc.nsw.gov.au/www/html/64-library.asp
Kurri Kurri Library,-32.81955,151.479096,"245 Lang Street, Kurri Kurri NSW 2327",http://www.cessnock.nsw.gov.au/Cessnock/index.asp?id=34
Kyogle Library,-28.621489,153.006073,"Stratheden Street, Kyogle NSW 2474",http://www.richmondvalley.nsw.gov.au/page/library
Lake Cargelligo Library,-33.088669,147.146272,"130 Bathurst Street, Condobolin NSW 2877",http://www.lachlan.nsw.gov.au/library.html
Lake Haven Library & Council Services,-33.24393,151.50795,"Lake Haven Shopping Centre, Goobarabah Road, Lake Haven NSW 2263",http://www.wyong.nsw.gov.au/libraries/libraries_home.html
Lake Macquarie City Library,-32.958918,151.621626,"139 Main Road, Speers Point NSW  2284",http://www.lakemac.com.au/page.aspx?pid=144&vid=11
Lakemba Library,-33.914633,151.085014,"62 the Boulevard, Lakemba NSW 2195",http://www.canterbury.nsw.gov.au/www/html/903-library-events.asp
Lalor Park Library,-33.764951,150.930595,"Freeman Street, Lalor Park NSW 2147",http://www.libraries.blacktown.nsw.gov.au/
Lambton Library,-32.911698,151.709154,"Morehead & Elder Streets, Lambton NSW  2299",http://www.newcastle.nsw.gov.au/discover_newcastle/visit_our_libraries
Lane Cove Library,-33.815104,151.169705,"139A Longueville Road, Lane Cove NSW 2066",http://www.lanecove.nsw.gov.au/Living%20in%20the%20Area/Library/Operations/LibraryService.htm
Laurieton Library,-31.651993,152.795855,"9 Laurie Street, Laurieton NSW 2443",http://www.hastings.nsw.gov.au/www/html/636-your-library.asp
Lavington Library,-36.046561,146.939246,"Griffith Road, Lavington NSW 2641",http://www.umrl.com.au/
Lawson Library,-33.717837,150.430609,"Cnr Loftus St & San Jose Ave, Lawson NSW 2783",http://www.bmcc.nsw.gov.au/yourcommunity/library
Leeton Shire Major Dooley Library,-34.550504,146.405156,"Sycamore Street, Leeton NSW 2705",
Leichhardt Library,-33.887147,151.158388,"Piazza Level, Italian Forum, 23 Norton Street, Leichhardt NSW 2040",http://www.leichhardt.nsw.gov.au/Library.html
Lennox Head Library,-28.793937,153.591332,"Mackney Lane, Lennox Head NSW 2478",http://www.rtrl.nsw.gov.au/site/index.php
Lidcombe Library,-33.863303,151.042724,"Bridge Street, Lidcombe NSW 2141",http://www.auburn.nsw.gov.au/page.aspx?id=464&
Lightning Ridge Library,-29.42916,147.985117,"Pandora Street, Lightning Ridge NSW 2834",http://www.norl.org/
Lindfield Library,-33.777553,151.168926,"265 Pacific Highway, Lindfield NSW 2072",http://www.kmc.nsw.gov.au/www/html/64-library.asp
Lismore Library,-28.812541,153.282994,"Magellan Street, Lismore NSW 2480",http://www.rtrl.nsw.gov.au/site/index.php
Lithgow Library,-33.482191,150.15528,"157 Main Street, Lithgow NSW  2790",www.learningcentre.lithgow.com
Liverpool City Library,-33.922028,150.925353,"Library Plaza, 170 George Street, Liverpool NSW 2170",http://ebranch.liverpool.nsw.gov.au
Macksville Library,-30.708975,152.918921,Princess Street Macksville NSW  2447,http://www.crl.nsw.gov.au/
Maclean Library,-29.458676,153.200244,"Stanley Street, Maclean NSW 2463",http://www.crl.nsw.gov.au/
Maitland Library,-32.729966,151.552536,"480 High Street, Maitland NSW 2320",http://www.maitland.nsw.gov.au/library/
Malabar Library,-33.961433,151.246829,"Malabar Community Library 1203 Anzac Parade, Malabar NSW 2036",http://www.randwick.nsw.gov.au/A_sense_of_community/Library/index.aspx
Manildra Library,-33.186473,148.694951,"65 Kiewa Street, Manildra NSW 2865",http://www.cwl.nsw.gov.au/
Manilla Library,-30.746654,150.719763,"191 Manilla Street, Manilla NSW  2346",http://www.cnl.nsw.gov.au/
Manly Library,-33.797497,151.2865,"Market Place, Manly NSW 2095",http://www.manly.nsw.gov.au/Library.html
Maroubra Library,-33.937914,151.237918,"The Bowen Library, 669-673 Anzac Parade, Maroubra  NSW  2035",http://www.randwick.nsw.gov.au/A_sense_of_community/Library/index.aspx
Marrickville Library,-33.908896,151.15445,"Town Hall, Marrickville Road (Entrance Petersham Rd) Marrickville NSW 2204",http://www.marrickville.nsw.gov.au/library.htm
Mascot Library,-33.929907,151.193383,"2-4 Hatfield Street, Mascot NSW 2020",
Mathoura Redgum Branch Library,-35.812111,144.90172,"23 Moama Street, Mathoura NSW 2710",http://www.deniliquin.nsw.gov.au/library.html
Mayfield Library,-32.898093,151.735645,"Hanbury Street, Mayfield NSW 2304",http://www.newcastle.nsw.gov.au/discover_newcastle/visit_our_libraries
Menai Library,-34.013979,151.017616,"Alison Crescent, Menai NSW 2234",http://www.suthlib.nsw.gov.au/ssc/suthlib.nsf/
Merimbula Library,-36.886666,149.914115,"Main Street, Merimbula NSW 2548",http://www.begavalley.nsw.gov.au/Community/Library_Services/Library.htm
Merriwa Library,-32.139419,150.355719,"Bettington Street, Merriwa NSW 2329",http://www.uhrl.nsw.gov.au/
